classifier,k,accuracy,precision_macro,recall_macro,time_sec
hardcore,1,0.9333333333333333,0.9444444444444445,0.9333333333333332,0.02564639599995644
hardcore,3,0.9111111111111111,0.9298245614035089,0.9111111111111111,0.022560447999921962
hardcore,5,0.9111111111111111,0.9298245614035089,0.9111111111111111,0.0234299319999991
hardcore,7,0.9333333333333333,0.9444444444444445,0.9333333333333332,0.022505969000121695
sklearn,1,0.9333333333333333,0.9444444444444445,0.9333333333333332,0.0018037340000773838
sklearn,3,0.9111111111111111,0.9298245614035089,0.9111111111111111,0.0016574750000017957
sklearn,5,0.9111111111111111,0.9298245614035089,0.9111111111111111,0.0016749369999615737
sklearn,7,0.9333333333333333,0.9444444444444445,0.9333333333333332,0.002009933999943314
