k,Algoritmo,Silhouette,Inertia,Iterações,Tempo (s)
3,Hardcore,0.45994823920518635,139.82049635974982,6,0.0017615089998344047
3,Sklearn,0.45994823920518635,139.8204963597498,4,0.08937575100003414
5,Hardcore,0.3045805027295187,104.04912423641301,5,0.0020318560000305297
5,Sklearn,0.3459012795948778,90.92751382392052,8,0.022955116000048292
